text,language
De snelle bruine vos springt over de luie hond,Nederlands
Mijn moeder probeert cool te zijn door te zeggen dat ze alle dingen leuk vindt die ik leuk vind,Nederlands
Een paarse varken en een groene ezel vlogen met een vlieger midden in de nacht en eindigden met een zonnebrand,Nederlands
Afgelopen vrijdag zag ik een gestreepte blauwe worm met vlekken de hand schudden met een pootloze hagedis,Nederlands
Een liedje kan iemands dag maken of verpesten als ze het laten binnenkomen,Nederlands
Soms is het beter om gewoon weg te lopen van dingen en later terug te komen als je je beter voelt,Nederlands
Een lijst met willekeurige zinnen schrijven is moeilijker dan ik aanvankelijk dacht,Nederlands
Laten we allemaal uniek zijn totdat we beseffen dat we allemaal hetzelfde zijn,Nederlands
Als ik iets niet leuk vind blijf ik er weg van,Nederlands
Ik houd van het eten van geroosterde kaas- en tonijnsandwiches,Nederlands
Als je van tonijn en tomatensaus houdt probeer dan de twee te combineren. Het is echt niet zo slecht als het klinkt,Nederlands
Iemand die ik ken heeft recentelijk esdoornsiroop en met boter besmeerde popcorn gecombineerd in de hoop dat het zou smaken als karamellpopcorn. Dat deed het niet en ze raden niemand aan het ook te doen,Nederlands
Soms hoef je alleen maar helemaal een idioot van jezelf te maken en het van je af te lachen om te beseffen dat het leven toch niet zo slecht is,Nederlands
Toen ik klein was heeft een autodeur op mijn hand geklapt en ik herinner me het nog behoorlijk levendig,Nederlands
De klok op deze blog en de klok op mijn laptop verschillen 1 uur van elkaar,Nederlands
Ik wil een onesie kopen maar weet dat het me niet zal staan,Nederlands
Ik was heel trots op mijn bijnaam tijdens de middelbare school maar vandaag zou ik niet verder van mijn bijnaam kunnen afwijken,Nederlands
Ik heb momenteel 4 vensters open en ik weet niet waarom,Nederlands
Ik zie vaak de tijd 11:11 of 12:34 op klokken,Nederlands
Dit is de laatste willekeurige zin die ik zal schrijven en ik ga halverwege stoppen,Nederlands
We moeten een kamer huren voor ons feest,Nederlands
Ja ik denk dat het een goede omgeving is om Engels te leren,Nederlands
Het meer is een eindje hier vandaan,Nederlands
Dit is een Japanse pop,Nederlands
Ik hoor dat Nancy erg mooi is,Nederlands
Ze was te kort om over het hek te kijken,Nederlands
Hij vertelde ons een heel spannend avontuurverhaal,Nederlands
Ze spreekt altijd in een luide stem tegen hem,Nederlands
Ik wil meer gedetailleerde informatie,Nederlands
Ik controleerde om te zorgen dat hij nog leefde,Nederlands
Ik zou liever een vogel dan een vis zijn,Nederlands
Mary speelt piano,Nederlands
Ze deed haar best om hem te helpen,Nederlands
Ze leende het boek van hem vele jaren geleden en heeft het nog niet teruggegeven,Nederlands
Ze schreef hem een lange brief maar hij heeft het niet gelezen,Nederlands
Wacht alsjeblieft buiten het huis,Nederlands
Twee stoelen waren vacant,Nederlands
Tom kreeg een klein stuk taart,Nederlands
Ze vouwde haar zakdoek netjes op,Nederlands
We hebben veel regen in juni,Nederlands
Ik ben nooit thuis op zondagen,Nederlands
Stap niet op het gebroken glas,Nederlands
Ze adviseerde hem om onmiddellijk terug te komen,Nederlands
Laat me je helpen met je bagage,Nederlands
Het boek staat voor de tafel,Nederlands
Het mysterieuze dagboek registreert de stem,Nederlands
De vreemdeling leidt de maaltijd,Nederlands
De schutter neemt afscheid van zijn liefde,Nederlands
Een fonkelende edelsteen is niet genoeg,Nederlands
Het geheugen dat we vroeger deelden is niet meer coherent,Nederlands
De oude appel koestert zijn autoriteit,Nederlands
Rockmuziek nadert met hoge snelheid,Nederlands
Zestig-Vier komt om brood vragen,Nederlands
Abstractie is vaak een verdieping boven je,Nederlands
De rivier stal de goden,Nederlands
Joe maakte de suikerkoekjes Susan decoreerde ze,Nederlands
De lucht is helder de sterren fonkelen,Nederlands
De golven sloegen op de kust het was een prachtig gezicht,Nederlands
Er waren witte omstandigheden in de stad vervolgens waren de wegen onbegaanbaar,Nederlands
Bekijk morgen weer ik zal zien of het boek is aangekomen,Nederlands
Hij zei dat hij er gisteren niet was maar veel mensen zagen hem daar,Nederlands
Ik ben blij om je donatie te accepteren elk bedrag wordt zeer gewaardeerd,Nederlands
Ze schildert alleen met felle kleuren ze houdt niet van pastels,Nederlands
Ze werkt twee banen om rond te komen dat was tenminste haar reden om geen tijd te hebben om met ons mee te doen,Nederlands
Winkels zijn geweldige plekken om te shoppen ik kan alles vinden wat ik nodig heb onder één dak,Nederlands
Italië is mijn favoriete land in feite ben ik van plan om er volgend jaar twee weken door te brengen,Nederlands
Hij leverde het onderzoeksrapport in op vrijdag anders zou hij de les niet gehaald hebben,Nederlands
Ze heeft niet gespiekt op de test want dat was niet het juiste om te doen,Nederlands
Ik denk dat ik de rode auto zal kopen of de blauwe zal leasen,Nederlands
Ik wil echt naar mijn werk maar ik ben te ziek om te rijden,Nederlands
Ik tel mijn calorieën maar ik wil echt een dessert,Nederlands
Hij raakte door zijn geld heen dus moest hij stoppen met pokeren,Nederlands
Ze kwamen er vroeg aan en kregen echt goede zitplaatsen,Nederlands
Er was geen ijs in de vriezer en ze hadden ook geen geld om naar de winkel te gaan,Nederlands
Iedereen was bezig dus ging ik alleen naar de film,Nederlands
Ik zou de promotie hebben gekregen maar mijn aanwezigheid was niet goed genoeg,Nederlands
Het werd donker en we waren er nog niet,Nederlands
Kat is een goed huisdier omdat ze schoon zijn en niet luidruchtig,Nederlands
We zijn nooit in Azië geweest en we hebben ook Afrika niet bezocht,Nederlands
Hij wilde niet naar de tandarts maar ging toch,Nederlands
Soms staar ik naar een deur of een muur en vraag ik me af wat deze realiteit is waarom leef ik en waar gaat dit allemaal over,Nederlands
Alles wat je hoeft te doen is de pen oppakken en beginnen,Nederlands
Had hij geweten wat er zou gebeuren zou hij nooit de douche zijn ingestapt,Nederlands
Ze had haar kopje koffie niet gehad en dat maakte alles nog slechter,Nederlands
Alles wat ze wilde was het antwoord maar ze had geen idee hoeveel ze het zou haten,Nederlands
Het moet ergens vijf uur zijn,Nederlands
Hij ging terug naar de video om te zien wat er was opgenomen en was geschokt door wat hij zag,Nederlands
Achter het raam was een reflectie die alleen angst inboezemde,Nederlands
Zo won hij 1 miljoen dollar,Nederlands
Ze kon hem in de douche horen zingen met een vreugde waarvan ze hoopte dat hij die zou behouden nadat ze het nieuws had gebracht,Nederlands
Toen hij uit het raam keek zag hij een clown voorbij lopen,Nederlands
Er had een tijd en een plaats moeten zijn maar dit was het niet,Nederlands
Het was het beste zandkasteel dat hij ooit had gezien,Nederlands
Er zit kunst in het krijgen van je zin en het spugen van olijvenpitten over de tafel is dat niet,Nederlands
Ze zeggen dat honden de beste vriend van de mens zijn maar deze kat was vastbesloten die theorie te saboteren,Nederlands
Natuurlijk houdt ze van haar roze bunny slippers,Nederlands
Zet geen pindakaas op de neus van de hond,Nederlands
Ze kan haar leven leven zoals ze wil zolang ze maar luistert naar wat ik te zeggen heb,Nederlands
Er zijn weinig dingen beter in het leven dan een stuk taart,Nederlands
Niet alle mensen die dwalen zijn verloren,Nederlands
De messen waren uit en zij was bezig haarne op te scherpen,Nederlands
Ze voelde die rilling die de haren op je nek doet rechtstaan toen hij de kamer binnenkwam,Nederlands
Piss niet in mijn tuin en vertel me niet dat je probeert mijn planten te laten groeien,Nederlands
Hij vond het einde van de regenboog en was verrast over wat hij daar vond,Nederlands
Twee dagen en al zijn problemen zouden opgelost zijn,Nederlands
Liefde is niet zoals pizza,Nederlands
Er is een reden waarom rozen doornen hebben,Nederlands
Hij keek achter de deur en vond niet leuk wat hij zag,Nederlands
Hij tastte in het donker op zoek naar de lichtschakelaar maar toen hij die eindelijk vond was er iemand anders al daar,Nederlands
Hij blafte bevelen naar zijn dochters maar zij staarden hem alleen met amusement aan,Nederlands
Hij had een verborgen voorraad onder de vloerdelen in de achterkamer van het huis,Nederlands
Niemand houdt van een varken met lippenstift,Nederlands
Ze riepen haar naam keer op keer maar werden alleen met stilte ontvangen,Nederlands
Hij had per ongeluk het server van zijn bedrijf gehackt,Nederlands
Je kunt geen appels en sinaasappels vergelijken maar wat dacht je van bananen en plantains,Nederlands
Het klinkt niet alsof dat ooit op mijn reislijst zal staan,Nederlands
Hij zwoer dat hij net zijn sushi zag bewegen,Nederlands
Hij was op het punt gekomen waarop hij paranoïde was over paranoïa,Nederlands
De zon was ondergegaan en zo waren zijn dromen,Nederlands
Hij leerde de belangrijke les dat een picknick op het strand op een winderige dag een slecht idee is,Nederlands
Wees voorzichtig met dat botermes,Nederlands
Hij negeerde de waarschuwing en het bleek verrassend goed te gaan,Nederlands
Het was een glibberige helling en hij was bereid om helemaal naar de diepste diepten te glijden,Nederlands
Hij zou alleen overleven als hij het vuur brandende hield en hij kon in de verte donder horen,Nederlands
Zijn zelfvertrouwen zou bewonderenswaardig zijn geweest als het niet om zijn domheid ging,Nederlands
Ze liet de ballon omhoog de lucht in stijgen met haar hoop en dromen,Nederlands
Zijn zeven-laags taart had slechts zes lagen,Nederlands
Er zat kolen in zijn kerstkous en hij was opgetogen,Nederlands
De roestige spijker stond rechtop gekanteld onder een hoek van 45 graden wachtend op de perfecte blote voet om langs te komen,Nederlands
Vaarwel en bedankt voor de vis,Nederlands
De willekeurige zin-generator genereerde een willekeurige zin over een willekeurige zin,Nederlands
Ze zegt dat ze de vaardigheid heeft om de soundtrack van je leven te horen,Nederlands
Het blijkt dat je al die spullen die je dacht nodig te hebben niet nodig hebt,Nederlands
De ironie van de situatie ging niemand in de kamer verloren,Nederlands
De waarheid is dat je voor je levensstijl betaalt in uren,Nederlands
Het licht in zijn leven was eigenlijk een vuur dat om hem heen brandde,Nederlands
Drie generaties met zes decennia levenservaring,Nederlands
Niets leek misplaatst behalve de wasmachine in de bar,Nederlands
Hij besloot zijn leven te leven volgens het grote beats-manifest,Nederlands
Het geheime ingrediënt voor zijn geweldige leven was misdaad,Nederlands
Hij zat in een vuilnisbak met klasse van de high street,Nederlands
Het feit dat er een trap naar de hemel en een snelweg naar de hel is legt het leven goed uit,Nederlands
Ik ontmoette een interessante schildpad terwijl het nummer op de radio luid speelde,Nederlands
Op dat moment luisterde hij niet naar muziek hij leefde een ervaring,Nederlands
Dit maakte hem het gevoel te geven van een oude rootbeer float,Nederlands
Uiteindelijk realiseerde hij zich dat hij geluid kon zien en woorden kon horen,Nederlands
De vis luisterde aandachtig naar wat de kikkers te zeggen hadden,Nederlands
Hij stapte voorzichtig op de brug wetende dat betovering aan de andere kant wachtte,Nederlands
Hij leerde de moeilijkste les van zijn leven en had de littekens zowel fysiek als mentaal om het te bewijzen,Nederlands
Op dat moment realiseerde ze zich dat ze een zesde zintuig had,Nederlands
Hij vroeg zich af waarom hij op 18-jarige leeftijd oud genoeg was om naar de oorlog te gaan maar niet oud genoeg om sigaretten te kopen,Nederlands
Ze zag geen ironie in het vragen om mij te veranderen maar wilde dat ik haar accepteerde zoals ze is,Nederlands
De vos in de hoge hoed fluisterde in het oor van de konijn,Nederlands
Er kunnen nooit te veel kersen op een ijssundae zijn,Nederlands
In het moment dat ze landde begreep ze waarom dit een doorvliegstaat was,Nederlands
Ik wilde je gewoon vertellen dat ik de liefde die je voor je kind hebt kon zien aan de manier waarop je naar haar kijkt,Nederlands
Iedereen zegt dat ze van de natuur houden totdat ze beseffen hoe gevaarlijk zij kan zijn,Nederlands
Hij was bereid de diepten van het konijnenhol te verkennen om bij haar te zijn,Nederlands
Ze droeg groene lippenstift als een mode-icoon,Nederlands
Onderestimate nooit de bereidheid van de hebzuchtigen om je onder de bus te gooien,Nederlands
Ze begreep eindelijk dat rouw haar liefde was zonder plaats om naartoe te gaan,Nederlands
Iedere persoon die je kent heeft een andere perceptie van wie je bent,Nederlands
De schoonheid van de Afrikaanse zonsondergang verstopte het gevaar dat zich in de buurt verschool,Nederlands
Ze renden om de hoek en ontdekten dat ze terug in de tijd waren gereisd,Nederlands
25 jaar later betreurde ze nog steeds dat specifieke moment,Nederlands
In dat ene moment veranderde alles,Nederlands
Hij haatte dat hij hield van wat zij haatte aan haat,Nederlands
Willekeurige woorden voor andere willekeurige woorden creëren een willekeurige zin,Nederlands
De lichaamspiercing verliep niet precies zoals hij had verwacht,Nederlands
De varkens waren beledigd dat ze hamburgers werden genoemd,Nederlands
Het verraste hem dat de ruimte naar gebraden steak rook,Nederlands
Terwijl hij wachtte tot de douche opwarmde merkte hij dat hij de temperatuurverandering van het water kon horen,Nederlands
Hij keek één keer naar wat er onder de tafel was en rende er meteen vandaan,Nederlands
Ze vond zijn volledige saaiheid interessant,Nederlands
De efficiëntie waarmee we afval verwijderen heeft het creëren van afval acceptabeler gemaakt,Nederlands
De kans van je leven ging voorbij terwijl hij probeerde te beslissen tussen een hoorntje of een bakje,Nederlands
Één kleine actie zou haar leven veranderen maar of het beter of slechter zou worden moest nog worden bepaald,Nederlands
Het was de schaarste die zijn creativiteit voedde,Nederlands
Vleeskleurige yogabroeken waren veel erger dan hij ooit vreesde,Nederlands
Hij was 100% voor het vasten met haar totdat hij begreep dat dat betekende dat hij niet mocht eten,Nederlands
Dinsdagen zijn gratis als je een kabouterkostuum meebrengt,Nederlands
Als een agent je vraagt waar je was zeg dan gewoon dat je Kansas bezocht,Nederlands
Het publiek schreeuwt en roept om meer memes,Nederlands
Ze gooien kool die je hersenen in emotionele bagage verandert,Nederlands
Aardappelpartjes zijn waarschijnlijk niet het beste voor relaties,Nederlands
Het zou een betere avond zijn geweest als de jongens naast ons niet in de spetterzone waren,Nederlands
Ik zag mijn eekhoorn door mijn sporttas rommelen,Nederlands
Je hebt me de hele dag aangekeken en wachtte op je kans als een leeuw die een gazelle op de savanne besluipt,Nederlands
Het komt niet vaak voor dat je een doorweekte banaan op straat vindt,Nederlands
Terwijl je alle mogelijke manieren overweegt om jezelf en de wereld te verbeteren merk je op dat John Travolta behoorlijk ongelukkig lijkt,Nederlands
Ik kocht een babyclown van de Russische terroristen zwarte markt,Nederlands
Je realiseert je dat je niet alleen bent terwijl je in je slaapkamer zit en je kuiten masseert na een lange dag touwtrekken met opa Joe in het ziekenhuis,Nederlands
Je bent niet zeker of je hem kunt vertrouwen maar bent heel dankbaar dat je een coltrui droeg,Nederlands
Je vriendin kocht je favoriete cookie crisp ontbijtgranen maar vergat melk te halen,Nederlands
Hij is goed in het eten van augurken en het vertellen van vrouwen over zijn emotionele problemen,Nederlands
Als mijn rekenmachine een geschiedenis had zou het beschamender zijn dan mijn browsergeschiedenis,Nederlands
Ik at een sok omdat mensen op het internet me dat zeiden,Nederlands
Stop met wachten op uitzonderlijke dingen die zomaar gebeuren,Nederlands
Kiezen om niets te doen is tenslotte ook een keuze,Nederlands
Hij was zo bezig met de vraag of hij het kon dat hij niet stilstond om te overwegen of hij het ook moest doen,Nederlands
Rood is zeker groener dan paars,Nederlands
Op een schaal van één tot tien wat is je favoriete smaak van willekeurige grammatica,Nederlands
Hij zit in een jongensband wat niet veel zin heeft voor een slang,Nederlands
Hij wachtte tot het stopbord om zou schakelen naar een doorgaan-bord,Nederlands
Het is veel moeilijker om te tennissen met een bowlingbal dan te bowlen met een tennisbal,Nederlands
Ze had geweldig nieuws om te delen maar niemand om het mee te delen,Nederlands
De groene thee en avocado smoothie bleek precies zoals je zou verwachten,Nederlands
Wanneer niemand in de buurt is roddelen de bomen over de mensen die onder hen zijn gelopen,Nederlands
Ze wilde een huisdier platypus maar kreeg in plaats daarvan een eend en een fret,Nederlands
Op dat moment leerde hij dat er bepaalde delen van het lichaam zijn die je nooit moet ontharen met Nair,Nederlands
Hij realiseerde zich dat er meerdere doden op deze weg waren geweest maar zijn bezorgdheid steeg toen hij het exacte aantal zag,Nederlands
Het donderende gebrul van het vliegtuig boven hem bevestigde haar ergste angsten,Nederlands
De beste key lime pie is nog steeds ter discussie,Nederlands
Diverse zeevogels zijn elegant maar niets is zo elegant als een glijdende pelikaan,Nederlands
Pindakaas en jam deden de oudere dame denken aan haar verleden,Nederlands
Hij ging voor een korte wandeling maar nu kon hij alleen maar mangroven en water zien voor mijlen,Nederlands
Iedereen was nieuwsgierig naar het grote witte luchtzeil dat opeens verscheen,Nederlands
De tsunami-golf kraakte tegen de verhoogde huizen en brak de palen alsof ze tandenstokers waren,Nederlands
Ze dwaalden een vreemde Tiki-bar binnen aan de rand van het kleine strandstadje,Nederlands
De toerbus zat vol met tienermeisjes op weg naar hun volgende avontuur,Nederlands
Haar haar woei in de wind terwijl ze in de zwarte cabrio reed,Nederlands
Lightning Paradise was de lokale ontmoetingsplek waar de groep meestal de nacht doorbracht,Nederlands
Het dikke loof en de verstrengelde takken maakten de wandeling bijna onmogelijk,Nederlands
Terwijl de huurauto tot stilstand kwam op de donkere weg nam haar angst toe met het moment,Nederlands
